# Some static functions have the same name, ignore them
0x429314,ldopen
0x4295AC,__sgi_init_ldfile
0x4295E4,nextfile
0x4298BC,init_ldfile
0x429E3C,ldclose
0x429F04,nyi
0x429F6C,nop
0x429FB4,ldinitheaders
0x429FF0,ldfhread
0x42A028,ldshread
0x42A07C,vldldptr
0x42A0A0,freeldptr
0x42A158,__sgi_dbx_freeldptr
0x42A200,__sgi_ldftell
0x42A240,__sgi_ldmemseek
0x42A310,ldfseek
0x42A3C4,ldfread
0x42A43C,ldlseek
0x42A4A4,ldnlseek
0x42A4E0,ldnrseek
0x42A5C4,ldnsseek
0x42A6C8,ldohseek
0x42A77C,ldrseek
0x42A7EC,ldsseek
0x42A868,ldtbseek
0x42A8E0,ldnreloc
0x42AA80,hdrassign
0x42AA88,ldaopen
0x42ABAC,ldaclose
0x42AC1C,ldahread
0x42AC64,ldohread
0x42ACC4,ldarsymread
0x42AF04,ldnshread
0x42B014,_ld_get_procedure_table
0x42B084,int _ld_init_rt_proc_table
0x42B0E0,save_str
0x42B148,dbx_cmp_proctbl
0x42B170,dbx_build_proctbl
0x42B178,change_fortran_names
0x42B3E0,__sgi_dbx_obj_close
0x42B4C4,__sgi_fobj_open
0x42B5E8,obj_open
0x42B750,dbx_obj_open
0x42B86C,obj_init
0x42C4C8,check_obj_name
0x42C4D0,add_obj
0x42C630,dbx_add_obj
0x42C7A4,dbx_insert_obj
0x42C8E0,check_symbol_range
0x42C934,symbol_to_obj
0x42C9BC,check_procedure_range
0x42CA0C,procedure_to_obj
0x42CA94,check_file_range
0x42CAE4,file_to_obj
0x42CB6C,check_address_range
0x42CBD0,address_to_obj
0x42CC58,obj_read_from_fd
0x42CF08,obj_close
0x42D094,dbx_obj_close
0x42D1B0,obj_nsections
0x42D1EC,get_dynamic_offset
0x42D2A4,obj_dynamic
0x42D3EC,obj_get_dynamic_info
0x42DD08,elfhash
0x42DD54,obj_shared
0x42DE00,obj_call_shared
0x42DEAC,obj_newstr
0x42DF34,split
0x42E014,match_string_ignore_comment_and_whitespace
0x42E31C,match_string_ignore_minor
0x42E674,match_string
0x42E7D0,get_dynsym_hash_value
0x42E86C,obj_get_magic
0x42E908,obj_text_offset
0x42EA40,dumpobj_struct
0x42EA48,elf_get_pt_interp
0x42EB5C,search_symbol_using_hash
0x42ED24,obj_find_symbol_value
0x42EE38,obj_find_procedure_table
0x42EF60,_create_rt_proc_table
0x42F310,obj_otype
0x42F318,obj_pfilehdr
0x42F320,obj_paouthdr
0x42F328,obj_pscnhdr
0x42F330,obj_phdrr
0x42F338,obj_psymr
0x42F340,obj_pextr
0x42F348,obj_symbol_base
0x42F350,obj_file_base
0x42F358,obj_procedure_base
0x42F360,obj_type_base
0x42F368,obj_base_address
0x42F370,obj_set_base_address
0x42F378,obj_map_address
