category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x40A0A8,None,.L0040A0A8,@branchlabel,None,None,None,0x4,0xA0A8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A0C0,None,.L0040A0C0,@branchlabel,None,None,None,0x4,0xA0C0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A0E8,None,.L0040A0E8,@branchlabel,None,None,None,0x4,0xA0E8,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40A17C,None,.L0040A17C,@branchlabel,None,None,None,0x4,0xA17C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A1C8,None,.L0040A1C8,@branchlabel,None,None,None,0x4,0xA1C8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A1D8,None,.L0040A1D8,@branchlabel,None,None,None,0x4,0xA1D8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A200,None,.L0040A200,@branchlabel,None,None,None,0x4,0xA200,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A230,None,.L0040A230,@branchlabel,None,None,None,0x4,0xA230,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A2C8,None,.L0040A2C8,@branchlabel,None,None,None,0x4,0xA2C8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A2E8,None,.L0040A2E8,@branchlabel,None,None,None,0x4,0xA2E8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40A304,None,.L0040A304,@branchlabel,None,None,None,0x4,0xA304,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
